"X","Obskey","Poskey","Tripkey","Group","Species","Age","Plumage","Sex","Count","Distance","Transect","Behaviour","Association","Direction","Prey","TurbineHeight","Notes"
333390,1100333390,110068498,110001070,NA,"710","A",NA,NA,1,"B",1,NA,NA,NA,NA,NA,NA
333391,1100333391,110068498,110001070,NA,"710","3",NA,NA,1,"B",1,NA,NA,NA,NA,NA,NA
333392,1100333392,110068498,110001070,NA,"5910","A",NA,NA,1,"B",1,NA,NA,NA,NA,NA,NA
333393,1100333393,110068499,110001070,NA,"5910",NA,NA,NA,90,"U",1,NA,NA,NA,NA,NA,NA
333394,1100333394,110068499,110001070,NA,"6000",NA,NA,NA,10,"U",1,NA,NA,NA,NA,NA,NA
333395,1100333395,110068499,110001070,NA,"5926",NA,NA,NA,8,"U",1,NA,NA,NA,NA,NA,NA
333396,1100333396,110068499,110001070,NA,"5927",NA,NA,NA,1,"U",1,NA,NA,NA,NA,NA,NA
333397,1100333397,110068499,110001070,NA,"6020",NA,NA,NA,45,"U",1,NA,NA,NA,NA,NA,NA
333398,1100333398,110068499,110001070,NA,"5926","2",NA,NA,1,"1",0,NA,NA,NA,NA,NA,NA
333399,1100333399,110068499,110001070,NA,"6020",NA,NA,NA,15,"C",1,NA,NA,NA,NA,NA,NA
333400,1100333400,110068499,110001070,NA,"5920","1",NA,NA,1,"1",0,NA,NA,NA,NA,NA,NA
333401,1100333401,110068500,110001070,NA,"6020","A",NA,NA,1,"1",1,NA,NA,NA,NA,NA,NA
333402,1100333402,110068500,110001070,NA,"5910","2",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333403,1100333403,110068500,110001070,NA,"5910","2",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333404,1100333404,110068500,110001070,NA,"5910","A",NA,NA,1,"1",0,NA,NA,NA,NA,NA,NA
333405,1100333405,110068501,110001070,"16","5910","A",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333406,1100333406,110068501,110001070,"16","5910","1",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333407,1100333407,110068501,110001070,"16","5910","2",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333408,1100333408,110068501,110001070,NA,"5926","A",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333409,1100333409,110068501,110001070,NA,"6000","1",NA,NA,1,"1",0,NA,NA,NA,NA,NA,NA
333410,1100333410,110068501,110001070,NA,"5910","A",NA,NA,1,"1",1,NA,NA,NA,NA,NA,NA
333411,1100333411,110068501,110001070,NA,"5910","2",NA,NA,1,"1",0,NA,NA,NA,NA,NA,NA
333412,1100333412,110068501,110001070,NA,"5910",NA,NA,NA,7,"2",0,NA,NA,NA,NA,NA,NA
333413,1100333413,110068502,110001070,NA,"5910","1",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333414,1100333414,110068502,110001070,NA,"5910","A",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333415,1100333415,110068502,110001070,NA,"5926","2",NA,NA,1,"1",0,NA,NA,NA,NA,NA,NA
333416,1100333416,110068502,110001070,NA,"710","1",NA,NA,1,"1",1,NA,NA,NA,NA,NA,NA
333417,1100333417,110068502,110001070,NA,"5910",NA,NA,NA,7,"2",1,NA,NA,NA,NA,NA,NA
333418,1100333418,110068502,110001070,NA,"5910","3",NA,NA,1,"B",1,NA,NA,NA,NA,NA,NA
333419,1100333419,110068502,110001070,NA,"5910","A",NA,NA,1,"C",1,NA,NA,NA,NA,NA,NA
333420,1100333420,110068502,110001070,NA,"5910","A",NA,NA,1,"C",1,NA,NA,NA,NA,NA,NA
333421,1100333421,110068503,110001070,NA,"710","A",NA,NA,5,"U",1,NA,NA,NA,NA,NA,NA
333422,1100333422,110068503,110001070,NA,"5926",NA,NA,NA,8,"U",1,NA,NA,NA,NA,NA,NA
333423,1100333423,110068503,110001070,NA,"5927",NA,NA,NA,2,"U",1,NA,NA,NA,NA,NA,NA
333424,1100333424,110068503,110001070,NA,"5920",NA,NA,NA,10,"U",1,NA,NA,NA,NA,NA,NA
